company,industry,size_range,employee_count,year_founded,locality
AMD,semiconductors,10001+,7243,1969.0,"austin, texas, united states"
AQR Capital Management,investment management,1001 - 5000,652,1998.0,"greenwich, connecticut, united states"
Accenture,information technology and services,10001+,190689,1989.0,"dublin, dublin, ireland"
Accolite,information technology and services,501 - 1000,338,2009.0,"addison, texas, united states"
Acko,insurance,51 - 200,43,2017.0,"bombay, maharashtra, india"
Activision,computer games,1001 - 5000,1141,1991.0,"santa monica, california, united states"
Adobe,computer software,10001+,14176,1982.0,"san jose, california, united states"
Affirm,internet,201 - 500,231,2012.0,"san francisco, california, united states"
Agoda,internet,1001 - 5000,1629,2005.0,"miami, florida, united states"
Airbnb,internet,5001 - 10000,4993,2008.0,"san francisco, california, united states"
Airbus SE,defense & space,11 - 50,15,1999.0,"stevenage, hertfordshire, united kingdom"
Airtel,telecommunications,10001+,13142,1995.0,"gurgaon, haryana, india"
Airwallex,financial services,51 - 200,49,2015.0,
Akamai,internet,5001 - 10000,4789,1998.0,"cambridge, massachusetts, united states"
Akuna Capital,capital markets,201 - 500,119,2011.0,"chicago, illinois, united states"
Alibaba,information technology and services,5001 - 10000,3605,1999.0,"london, london, united kingdom"
Altimetrik,computer software,1001 - 5000,971,2012.0,"southfield, michigan, united states"
Amadeus,information technology and services,1001 - 5000,436,,"bangalore, karnataka, india"
Amazon,internet,10001+,93247,1994.0,"seattle, washington, united states"
Amdocs,telecommunications,10001+,16108,1982.0,"chesterfield, missouri, united states"
American Express,financial services,10001+,34816,1850.0,"new york, new york, united states"
Analytics quotient,management consulting,501 - 1000,254,2008.0,"bangalore, karnataka, india"
Anduril,defense & space,11 - 50,17,2017.0,"orange county, california, united states"
Aon,financial services,10001+,30079,1987.0,"london, greater london, united kingdom"
Apollo.io,computer software,51 - 200,29,2015.0,"san francisco, california, united states"
AppDynamics,computer software,1001 - 5000,1005,2008.0,"san francisco, california, united states"
AppFolio,computer software,501 - 1000,452,2005.0,"santa barbara, california, united states"
Apple,consumer electronics,10001+,90095,1976.0,"cupertino, california, united states"
Applied Intuition,computer software,1 - 10,1,,
Arcesium,information technology and services,501 - 1000,318,2015.0,"new york, new york, united states"
Arista Networks,computer networking,1001 - 5000,1054,2004.0,"santa clara, california, united states"
Asana,internet,201 - 500,244,2009.0,"san francisco, california, united states"
Atlassian,computer software,1001 - 5000,1607,2002.0,"sydney, new south wales, australia"
Attentive,marketing and advertising,51 - 200,35,2016.0,
Audible,internet,1001 - 5000,970,1996.0,"newark, new jersey, united states"
Aurora,food & beverages,1001 - 5000,1018,1969.0,
Autodesk,computer software,10001+,7020,1982.0,"san rafael, california, united states"
Avalara,computer software,1001 - 5000,967,2004.0,"bainbridge island, washington, united states"
Avito,management consulting,1 - 10,2,2015.0,
Axon,public safety,501 - 1000,456,1993.0,"scottsdale, arizona, united states"
BNY Mellon,financial services,10001+,24183,,"new york, new york, united states"
BP,oil & energy,10001+,43657,1909.0,"london, greater london, united kingdom"
Baidu,internet,10001+,7402,2000.0,"peking, beijing, china"
Bank of America,banking,10001+,97357,1968.0,"charlotte, north carolina, united states"
Barclays,financial services,10001+,36200,,"london, greater london, united kingdom"
Bentley Systems,computer software,1001 - 5000,2373,1984.0,"exton, pennsylvania, united states"
BitGo,internet,11 - 50,24,2011.0,"palo alto, california, united states"
BlackRock,financial services,10001+,11238,1988.0,"new york, new york, united states"
BlackStone,information technology and services,201 - 500,119,1998.0,"san francisco, california, united states"
Blizzard,machinery,11 - 50,14,1995.0,"milwaukee, wisconsin, united states"
Block,financial services,201 - 500,120,,"kansas city, missouri, united states"
Bloomberg,online media,1001 - 5000,560,1981.0,"new york, new york, united states"
Bolt,insurance,51 - 200,66,2000.0,"new york, new york, united states"
Booking.com,internet,10001+,8217,1996.0,"orange, florida, united states"
Bosch,mechanical or industrial engineering,10001+,14807,1886.0,"garfield, new jersey, united states"
Box,internet,1001 - 5000,1353,2005.0,"redwood city, california, united states"
Braze,internet,1 - 10,1,,
Brex,financial services,11 - 50,16,2017.0,"san francisco, california, united states"
Bridgewater Associates,investment management,1001 - 5000,1226,1975.0,"westport, connecticut, united states"
ByteDance,internet,1001 - 5000,577,2012.0,"peking, beijing, china"
CARS24,automotive,201 - 500,122,2015.0,"gurgaon, haryana, india"
CEDCOSS,information technology and services,51 - 200,26,2010.0,"lakhnau, uttar pradesh, india"
CME Group,financial services,1001 - 5000,2274,1848.0,"chicago, illinois, united states"
CRED,civic & social organization,11 - 50,4,2003.0,"osaka, ōsaka, japan"
CVENT,computer software,1001 - 5000,2117,1999.0,"tysons corner, virginia, united states"
Cadence,medical devices,201 - 500,130,1985.0,"staunton, virginia, united states"
Canonical,computer software,501 - 1000,391,2004.0,"london, greater london, united kingdom"
Capgemini,information technology and services,10001+,84179,1967.0,"france, aquitaine, france"
Capital One,financial services,10001+,27522,1994.0,"mclean, virginia, united states"
Careem,information technology and services,1001 - 5000,962,2012.0,"dubai, dubai, united arab emirates"
Cashfree,information technology and services,11 - 50,12,2015.0,"bangalore, karnataka, india"
Celigo,computer software,201 - 500,113,2005.0,"san mateo, california, united states"
Chewy,retail,1001 - 5000,935,2011.0,"dania beach, florida, united states"
Chime,non-profit organization management,51 - 200,63,1992.0,"ann arbor, michigan, united states"
Circle,financial services,201 - 500,234,2013.0,"boston, massachusetts, united states"
Cisco,computer networking,10001+,61803,1984.0,"san jose, california, united states"
Citadel,financial services,1001 - 5000,1486,1990.0,"chicago, illinois, united states"
Citigroup,financial services,1001 - 5000,587,,
Citrix,computer software,10001+,6182,1989.0,"fort lauderdale, florida, united states"
Clari,computer software,51 - 200,70,2012.0,"sunnyvale, california, united states"
Cleartrip,"leisure, travel & tourism",1001 - 5000,383,2005.0,"bombay, maharashtra, india"
Cloudera,computer software,1001 - 5000,1058,2008.0,"palo alto, california, united states"
Cloudflare,information technology and services,501 - 1000,432,2009.0,"san francisco, california, united states"
Cognizant,information technology and services,10001+,122031,1994.0,"teaneck, new jersey, united states"
Cohesity,information technology and services,501 - 1000,349,2013.0,"santa clara, california, united states"
Coinbase,internet,501 - 1000,315,2012.0,"san francisco, california, united states"
Comcast,media production,10001+,24515,1963.0,"philadelphia, pennsylvania, united states"
Commvault,computer software,1001 - 5000,1867,1996.0,"tinton falls, new jersey, united states"
Compass,food & beverages,10001+,11140,1941.0,"chertsey, surrey, united kingdom"
Confluent,computer software,201 - 500,172,2014.0,"mountain view, california, united states"
ConsultAdd,information technology and services,201 - 500,116,2011.0,"jersey city, new jersey, united states"
Coupang,internet,1001 - 5000,773,2010.0,"riverside, california, united states"
Coursera,internet,1001 - 5000,585,2012.0,"mountain view, california, united states"
Coveo,computer software,201 - 500,219,2005.0,"vernon hills, illinois, united states"
