company,days_until,easycount,hardcount,mediumcount
AMD,360,3,0,5
AQR Capital Management,360,1,0,1
Accenture,90,1,0,0
Accenture,180,6,1,3
Accenture,360,54,2,44
Accolite,30,0,0,1
Accolite,90,1,0,1
Accolite,180,1,0,1
Accolite,360,6,1,8
Acko,180,0,1,0
Acko,360,2,1,0
Activision,180,0,0,1
Activision,360,1,0,0
Adobe,90,1,1,5
Adobe,180,3,3,9
Adobe,360,25,15,60
Affirm,90,0,0,2
Affirm,180,0,1,4
Affirm,360,1,2,7
Agoda,30,1,0,0
Agoda,90,2,0,2
Agoda,180,4,0,3
Agoda,360,11,2,21
Airbnb,30,0,1,0
Airbnb,90,0,3,2
Airbnb,180,1,4,8
Airbnb,360,10,17,28
Airbus SE,360,2,0,2
Airtel,180,0,0,1
Airtel,360,1,0,4
Airwallex,360,0,0,1
Akamai,360,3,1,0
Akuna Capital,90,0,1,0
Akuna Capital,180,0,1,0
Akuna Capital,360,3,9,10
Alibaba,360,0,1,4
Altimetrik,360,2,0,2
Amadeus,360,2,0,2
Amazon,30,19,16,65
Amazon,90,25,16,59
Amazon,180,22,16,62
Amazon,360,19,19,62
Amdocs,180,0,0,1
Amdocs,360,1,1,3
American Express,180,2,0,1
American Express,360,6,4,10
Analytics quotient,360,2,0,0
Anduril,90,0,5,4
Anduril,180,1,5,10
Anduril,360,2,3,16
Aon,360,2,1,1
Apollo.io,360,0,1,3
AppDynamics,360,1,0,1
AppFolio,360,0,1,1
Apple,30,3,3,8
Apple,90,16,8,38
Apple,180,26,13,60
Apple,360,24,15,61
Applied Intuition,30,0,1,0
Applied Intuition,90,0,2,2
Applied Intuition,180,0,2,2
Applied Intuition,360,0,1,3
Arcesium,360,0,6,13
Arista Networks,90,0,0,1
Arista Networks,180,1,0,3
Arista Networks,360,10,2,18
Asana,180,0,0,1
Asana,360,1,0,2
Atlassian,30,0,1,6
Atlassian,90,1,3,10
Atlassian,180,4,4,17
Atlassian,360,10,13,36
Attentive,90,0,1,1
Attentive,180,1,1,1
Attentive,360,1,2,2
Audible,360,2,0,1
Aurora,30,0,0,1
Aurora,90,0,0,1
Aurora,180,0,0,1
Aurora,360,1,0,1
Autodesk,90,0,0,1
Autodesk,180,1,1,6
Autodesk,360,5,6,8
Avalara,360,0,2,0
Avito,180,1,0,1
Avito,360,3,0,4
Axon,30,0,0,1
Axon,90,1,0,3
Axon,180,1,0,3
Axon,360,0,0,3
BILL Holdings,360,0,0,1
BNY Mellon,180,0,0,1
BNY Mellon,360,6,3,11
BP,360,0,0,4
Baidu,360,0,5,5
Bank of America,180,1,0,0
Bank of America,360,2,0,0
Barclays,180,0,0,1
Barclays,360,7,3,7
Bentley Systems,360,1,0,1
BharatPe,360,0,0,2
BitGo,30,0,0,1
BitGo,90,0,0,2
BitGo,180,0,2,4
BitGo,360,0,1,5
BlackRock,90,1,0,0
BlackRock,180,1,0,0
BlackRock,360,4,1,12
